Pheromone,Decay,Avg_Time,Avg_Covered,ParetoFront
0.8,0.0,159.638,0.7864938183798178,Pareto
0.8,0.2,159.981,0.7851563307709454,Dominated
0.8,0.4,159.986,0.7778367040810099,Dominated
0.8,0.8,160.565,0.7852695710044881,Dominated
0.9,1.0,162.787,0.8047952618077937,Pareto
0.9,0.30000000000000004,162.844,0.7929847455307749,Dominated
0.9,0.9,162.877,0.8001031975687372,Dominated
0.9,0.2,163.364,0.7950766504671233,Dominated
0.9,0.5,163.438,0.804341658512263,Dominated
0.9,0.7000000000000001,163.584,0.7983171877358711,Dominated
0.9,0.6000000000000001,163.651,0.7968991765304736,Dominated
0.9,0.0,163.842,0.798006546361967,Dominated
0.9,0.8,164.216,0.800764292966428,Dominated
0.9,0.1,164.267,0.8007082641858656,Dominated
0.9,0.4,165.177,0.8006396135826344,Dominated
