ModelNumber,Pheromone,Avg_Gathered,SD_Gathered,Avg_Covered,SD_Covered,Avg_Reached,SD_Reached,Avg_Hits,SD_Hits,Avg_Equality,SD_Equality,TimeStep
0,0.1,8.4741,4.631644328961438,0.06547863108275905,0.06669218991833223,1.2194,1.9723751265923986,0.001254970335104647,0.004711686567622342,1.039520392505928,0.3877572525402729,35
0,0.1,8.9411,4.7229684299177475,0.06883157413051576,0.06875489906549682,1.2816,2.0029731500946566,0.003352943047755579,0.006077740934683905,1.070475426722538,0.3899336477814122,36
0,0.1,9.2572,4.899780419569544,0.0713478101896831,0.07137686726343208,1.3466,2.0711514768359556,0.0025162360591665807,0.005847377539554504,1.101246437822274,0.40886435521035497,37
0,0.1,9.8436,5.303031118143705,0.07440052618902045,0.07195447327102339,1.3997,2.1160198274118356,0.0030527159993368066,0.004482523445112916,1.1186105694364612,0.4188486262635086,38
0,0.1,10.1427,5.461349348833213,0.07616194957994007,0.0721417947166184,1.4661,2.166345030229526,0.001761423390919862,0.004017381652174234,1.1496750514979626,0.4402636184616269,39
0,0.1,10.4094,5.584191225235761,0.07829804575410507,0.07394693658087007,1.5392,2.2261768483210345,0.002136096174165042,0.005080557099839036,1.1730478290227215,0.44206599776574246,40
0,0.1,10.6887,5.731700647277316,0.08037497031395238,0.0753419761117537,1.6291,2.312992258958173,0.0020769245598473802,0.005128502728490601,1.1934902453458638,0.45520597393784806,41
0,0.1,11.7748,6.138394330767454,0.08570234042368607,0.07492637079733423,1.734,2.392413843798858,0.005327370109734256,0.005499957317022103,1.286316015462975,0.4731950473198777,42
0,0.1,12.3483,6.533543227835816,0.08899567572442241,0.07620666154232761,1.8403,2.458901362397563,0.003293335300736944,0.0057245375942463015,1.3341961137873775,0.5147598760147817,43
0,0.1,13.1551,6.677547752730812,0.09407830292001758,0.07775711874263282,2.022,2.5765705889806103,0.00508262719559618,0.006449615582883078,1.402176018466664,0.5343312246925224,44
